feature,coef_min,coef_1se
LDA_02,-0.2182284583440772,-0.20995558860077504
data_channel_is_entertainment,-0.1342659725530095,-0.1191505021559793
data_channel_is_socmed,0.10025908435373457,0.067195369443583855
kw_max_max,-0.02595120253984163,-0.009844254234912203
kw_avg_avg_sq,0.02510324428455893,0.02273248039687074
weekend_x_kwavg,0.020498072519189846,0.018115015425708068
data_channel_is_tech,0.018408699655181406,0
num_imgs,0.018386217243280604,0.014582284156898832
data_channel_is_world,-0.01595593223133372,-0.03774683673740845
num_hrefs,0.01013088564129144,0.005413861634073053
num_keywords,0.0054185336648275035,0.002372930885011846
self_reference_avg_sharess,0.0043895838526066405,0.0061307412008569494
self_reference_min_shares,0.004370689890087438,5.455999477553772e-4
world_x_kwavg,-0.0029664353273032656,-3.5459867787703925e-4
kw_min_min,1.388644746768085e-5,0
n_tokens_title,0,0
n_tokens_content,0,0
n_non_stop_unique_tokens,0,0
num_self_hrefs,0,0
num_videos,0,0
average_token_length,0,0
data_channel_is_lifestyle,0,0
data_channel_is_bus,0,0
kw_max_min,0,0
kw_avg_min,0,0
kw_min_max,0,0
kw_avg_max,0,0
kw_min_avg,0,0
kw_max_avg,0,0
kw_avg_avg,0,0
self_reference_max_shares,0,0
weekday_is_monday,0,0
weekday_is_tuesday,0,0
weekday_is_wednesday,0,0
weekday_is_thursday,0,0
weekday_is_friday,0,0
weekday_is_saturday,0,0
weekday_is_sunday,0,0
LDA_00,0,0
LDA_01,0,0
LDA_03,0,0
LDA_04,0,0
global_subjectivity,0,0
global_sentiment_polarity,0,0
global_rate_positive_words,0,0
global_rate_negative_words,0,0
rate_positive_words,0,0
rate_negative_words,0,0
avg_positive_polarity,0,0
min_positive_polarity,0,0
max_positive_polarity,0,0
avg_negative_polarity,0,0
min_negative_polarity,0,0
max_negative_polarity,0,0
title_subjectivity,0,0
title_sentiment_polarity,0,0
abs_title_subjectivity,0,0
abs_title_sentiment_polarity,0,0
ent_x_kwavg,0,0
bus_x_kwavg,0,0
socmed_x_kwavg,0,0
tech_x_kwavg,0,0
imgs_x_entertainment,0,0
n_tokens_content_sq,0,0
